Episode: 32 | Reward: 13.0 | Q Loss: 0.6936430335044861 | Steps: 536
Episode: 33 | Reward: 13.0 | Q Loss: 0.6937727928161621 | Steps: 549
Episode: 34 | Reward: 11.0 | Q Loss: 0.6935551166534424 | Steps: 560
Episode: 35 | Reward: 12.0 | Q Loss: 0.6934256553649902 | Steps: 572
Episode: 36 | Reward: 15.0 | Q Loss: 0.6933776140213013 | Steps: 587
Episode: 37 | Reward: 13.0 | Q Loss: 0.6939489245414734 | Steps: 600
Episode: 38 | Reward: 12.0 | Q Loss: 0.694243311882019 | Steps: 612
Episode: 39 | Reward: 32.0 | Q Loss: 0.6940658688545227 | Steps: 644
Episode: 40 | Reward: 21.0 | Q Loss: 0.6939605474472046 | Steps: 665
Episode: 41 | Reward: 32.0 | Q Loss: 0.6940387487411499 | Steps: 697
Episode: 42 | Reward: 12.0 | Q Loss: 0.6941042542457581 | Steps: 709
Episode: 43 | Reward: 19.0 | Q Loss: 0.6941668391227722 | Steps: 728
Episode: 44 | Reward: 12.0 | Q Loss: 0.6937093734741211 | Steps: 740
Episode: 45 | Reward: 18.0 | Q Loss: 0.6936913728713989 | Steps: 758
Episode: 46 | Reward: 15.0 | Q Loss: 0.6937289237976074 | Steps: 773
Episode: 47 | Reward: 23.0 | Q Loss: 0.6936804056167603 | Steps: 796
Episode: 48 | Reward: 15.0 | Q Loss: 0.6942550539970398 | Steps: 811
Episode: 49 | Reward: 14.0 | Q Loss: 0.6940534114837646 | Steps: 825
Episode: 50 | Reward: 20.0 | Q Loss: 0.6938788294792175 | Steps: 845
Episode: 51 | Reward: 12.0 | Q Loss: 0.6949467062950134 | Steps: 857
Episode: 52 | Reward: 24.0 | Q Loss: 0.6951131820678711 | Steps: 881
Episode: 53 | Reward: 12.0 | Q Loss: 0.695156991481781 | Steps: 893
Episode: 54 | Reward: 19.0 | Q Loss: 0.6961525678634644 | Steps: 912
Episode: 55 | Reward: 12.0 | Q Loss: 0.695647120475769 | Steps: 924
