
Episode: 67 | Reward: -601.3426224363901 | Polciy Loss: 167.57839965820312 | Steps: 13400
Episode: 68 | Reward: -120.85912879119094 | Polciy Loss: 161.79104614257812 | Steps: 13600
Episode: 69 | Reward: -515.7702963948275 | Polciy Loss: 164.0311737060547 | Steps: 13800
Episode: 70 | Reward: -354.8591837165164 | Polciy Loss: 170.1673583984375 | Steps: 14000
Episode: 71 | Reward: -483.2927017726734 | Polciy Loss: 172.79617309570312 | Steps: 14200
Episode: 72 | Reward: -243.74739683357308 | Polciy Loss: 181.35850524902344 | Steps: 14400
Episode: 73 | Reward: -119.16215980471246 | Polciy Loss: 165.3458251953125 | Steps: 14600
Episode: 74 | Reward: -243.73567586646942 | Polciy Loss: 180.82611083984375 | Steps: 14800
Episode: 75 | Reward: -126.67413335077539 | Polciy Loss: 169.76217651367188 | Steps: 15000
Episode: 76 | Reward: -252.79181240261175 | Polciy Loss: 172.88162231445312 | Steps: 15200
Episode: 77 | Reward: -357.42170445620684 | Polciy Loss: 175.99444580078125 | Steps: 15400
Episode: 78 | Reward: -588.7958246053412 | Polciy Loss: 168.470458984375 | Steps: 15600
Episode: 79 | Reward: -239.2550741986807 | Polciy Loss: 170.55899047851562 | Steps: 15800
Episode: 80 | Reward: -0.7048622861397096 | Polciy Loss: 177.12078857421875 | Steps: 16000
Episode: 81 | Reward: -119.73698969071438 | Polciy Loss: 168.0177764892578 | Steps: 16200
Episode: 82 | Reward: -368.12177213222543 | Polciy Loss: 160.73001098632812 | Steps: 16400
Episode: 83 | Reward: -497.51435467665783 | Polciy Loss: 173.08802795410156 | Steps: 16600
Episode: 84 | Reward: -242.16614365742532 | Polciy Loss: 158.4001007080078 | Steps: 16800
Episode: 85 | Reward: -352.80603602277785 | Polciy Loss: 168.3681182861328 | Steps: 17000
Episode: 86 | Reward: -123.09177706074011 | Polciy Loss: 169.747802734375 | Steps: 17200
Episode: 87 | Reward: -125.01592616271742 | Polciy Loss: 157.5930633544922 | Steps: 17400
Episode: 88 | Reward: -477.0044045612101 | Polciy Loss: 161.234375 | Steps: 17600
Episode: 89 | Reward: -350.4649427844092 | Polciy Loss: 166.2843475341797 | Steps: 17800
Episode: 90 | Reward: -125.6837912646741 | Polciy Loss: 175.72959899902344 | Steps: 18000
Episode: 91 | Reward: -122.73966919432749 | Polciy Loss: 153.29367065429688 | Steps: 18200
Episode: 92 | Reward: -662.5128800643477 | Polciy Loss: 161.56423950195312 | Steps: 18400
Episode: 93 | Reward: -235.66853229903208 | Polciy Loss: 160.09646606445312 | Steps: 18600
Episode: 94 | Reward: -120.89024920306942 | Polciy Loss: 156.85987854003906 | Steps: 18800
Episode: 95 | Reward: -354.52194584694905 | Polciy Loss: 164.7001495361328 | Steps: 19000
Episode: 96 | Reward: -511.0786462514186 | Polciy Loss: 170.2056121826172 | Steps: 19200
Episode: 97 | Reward: -121.67013154630943 | Polciy Loss: 152.01361083984375 | Steps: 19400
Episode: 98 | Reward: -123.28288154514863 | Polciy Loss: 163.560791015625 | Steps: 19600
Episode: 99 | Reward: -473.85858342545066 | Polciy Loss: 163.8394775390625 | Steps: 19800
Episode: 100 | Reward: -121.2056286198461 | Polciy Loss: 160.11126708984375 | Steps: 20000
