Episode: 74 | Reward: 195.0 | Polciy Loss: -53.00053787231445 | Steps: 7906
Episode: 75 | Reward: 166.0 | Polciy Loss: -54.01277160644531 | Steps: 8072
Episode: 76 | Reward: 195.0 | Polciy Loss: -54.59255599975586 | Steps: 8267
Episode: 77 | Reward: 200.0 | Polciy Loss: -55.55955505371094 | Steps: 8467
Episode: 78 | Reward: 200.0 | Polciy Loss: -55.07347869873047 | Steps: 8667
Episode: 79 | Reward: 165.0 | Polciy Loss: -56.384727478027344 | Steps: 8832
Episode: 80 | Reward: 161.0 | Polciy Loss: -56.54383087158203 | Steps: 8993
Episode: 81 | Reward: 170.0 | Polciy Loss: -56.26741027832031 | Steps: 9163
Episode: 82 | Reward: 200.0 | Polciy Loss: -57.809818267822266 | Steps: 9363
Episode: 83 | Reward: 200.0 | Polciy Loss: -56.971195220947266 | Steps: 9563
Episode: 84 | Reward: 193.0 | Polciy Loss: -56.5489501953125 | Steps: 9756
Episode: 85 | Reward: 200.0 | Polciy Loss: -58.18170928955078 | Steps: 9956
Episode: 86 | Reward: 182.0 | Polciy Loss: -57.86585235595703 | Steps: 10138
Episode: 87 | Reward: 200.0 | Polciy Loss: -56.29999923706055 | Steps: 10338
Episode: 88 | Reward: 200.0 | Polciy Loss: -58.51866149902344 | Steps: 10538
Episode: 89 | Reward: 200.0 | Polciy Loss: -60.52095031738281 | Steps: 10738
Episode: 90 | Reward: 200.0 | Polciy Loss: -60.553321838378906 | Steps: 10938
Episode: 91 | Reward: 200.0 | Polciy Loss: -59.6201171875 | Steps: 11138
Episode: 92 | Reward: 200.0 | Polciy Loss: -60.164398193359375 | Steps: 11338
Episode: 93 | Reward: 154.0 | Polciy Loss: -59.920875549316406 | Steps: 11492
Episode: 94 | Reward: 146.0 | Polciy Loss: -59.157596588134766 | Steps: 11638
Episode: 95 | Reward: 200.0 | Polciy Loss: -59.22190856933594 | Steps: 11838
Episode: 96 | Reward: 200.0 | Polciy Loss: -57.8945426940918 | Steps: 12038
Episode: 97 | Reward: 200.0 | Polciy Loss: -60.1487922668457 | Steps: 12238
Episode: 98 | Reward: 200.0 | Polciy Loss: -59.163543701171875 | Steps: 12438
Episode: 99 | Reward: 200.0 | Polciy Loss: -60.248023986816406 | Steps: 12638
Episode: 100 | Reward: 200.0 | Polciy Loss: -60.08450698852539 | Steps: 12838
